status,line,reason,raw_row
adjusted,39,"Invalid freight -> 0 used","20/Jan/26 | Done | 06/Jan/26 | LRJ-3295 | 14ft | 257830 | 1957436 | Waqas Traders | Sargodha |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,40,"Invalid date -> today used","20/Jan/26 | Done | 06/Jan/26 | LEI-456 | 20ft | 257855 | 1957449 | Khan Traders | Rawalpindi |  |  | - | 79,000 |  |  |  |  |  |  |  |  |  | "
adjusted,40,"Invalid tender -> 0 used","20/Jan/26 | Done | 06/Jan/26 | LEI-456 | 20ft | 257855 | 1957449 | Khan Traders | Rawalpindi |  |  | - | 79,000 |  |  |  |  |  |  |  |  |  | "
adjusted,41,"Invalid date -> today used","20/Jan/26 | Done | 06/Jan/26 | LEI-456 | 20ft | 257856 | 1957449 | MAH Marketing | Rawalpindi |  |  | 5,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,41,"Invalid freight -> 0 used","20/Jan/26 | Done | 06/Jan/26 | LEI-456 | 20ft | 257856 | 1957449 | MAH Marketing | Rawalpindi |  |  | 5,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,42,"Invalid date -> today used","29/Jan/26 | Done | 06/Jan/26 | LES-8900 | 14ft | 257835 | 1957438 | Sitara Marketing | Lahore |  |  | - | 16,500 |  |  |  |  |  |  |  |  |  | "
adjusted,42,"Invalid tender -> 0 used","29/Jan/26 | Done | 06/Jan/26 | LES-8900 | 14ft | 257835 | 1957438 | Sitara Marketing | Lahore |  |  | - | 16,500 |  |  |  |  |  |  |  |  |  | "
adjusted,43,"Invalid date -> today used","29/Jan/26 | Done | 06/Jan/26 | LES-8900 | 14ft | 257836 | 1957438 | Punjab Traders | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,43,"Invalid freight -> 0 used","29/Jan/26 | Done | 06/Jan/26 | LES-8900 | 14ft | 257836 | 1957438 | Punjab Traders | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,44,"Invalid date -> today used","20/Jan/26 | Done | 06/Jan/26 | LES-3984 | 14ft | 257834 | 1957446 | Abdullah Traders | Shahdra |  |  | - | 16,500 |  |  |  |  |  |  |  |  |  | "
adjusted,44,"Invalid tender -> 0 used","20/Jan/26 | Done | 06/Jan/26 | LES-3984 | 14ft | 257834 | 1957446 | Abdullah Traders | Shahdra |  |  | - | 16,500 |  |  |  |  |  |  |  |  |  | "
adjusted,45,"Invalid date -> today used","20/Jan/26 | Done | 06/Jan/26 | LES-3984 | 14ft | 257832 | 1957446 | Abdullah Traders | Phool Nagar |  |  | 4,000 |  |  |  |  |  |  |  |  |  |  | "
