status,line,reason,raw_row
adjusted,4417,"Invalid tender -> 0 used"," |  | 11/25/2025 | C-1310 | 752 | Sohail Alpaa | Kotmomin 30km Bhalwal | 200 | - | 20,580"
adjusted,4436,"Invalid tender -> 0 used"," |  | 11/26/2025 | K-9741 | 772 | H & H | Chak 47 46 Ada | 130 | - | -"
adjusted,4442,"Invalid tender -> 0 used"," |  | 11/27/2025 | E-2522 | 778 | Farooqa P.F | Farooqa F Wajuka | 200 | - | 21,082"
adjusted,4448,"Invalid tender -> 0 used"," |  | 11/27/2025 | P-2048 | 784 | Saqib Khan P.F | 10 Wan Meal | 200 | - | 14,055"
adjusted,4451,"Invalid tender -> 0 used"," |  | 11/27/2025 | LPT-3715 | 787 | Alpa Eggs | Dhoori | 400 | - | 43,007"
adjusted,4455,"Invalid tender -> 0 used"," |  | 11/27/2025 | EA-1876 | 791 | Alpa Eggs | Dhoori | 400 | - | 43,007"
adjusted,4457,"Invalid tender -> 0 used"," |  | 11/27/2025 | LXT-6965 | 793 | 3 Star Protien | Sat Sira To Khew Adda | 200 | - | 21,082"
adjusted,4474,"Invalid tender -> 0 used"," |  | 11/28/2025 | GTH-333 | 862 | SP Yousaf Mandi | Tayyba F Phalia to 3km | 200 | - | 29,113"
adjusted,4479,"Invalid tender -> 0 used"," |  | 11/29/2025 | TAH-516 | 867 | Talha P.F | Farhat F Mangni Pull | 200 | - | 14,055"
adjusted,4481,"Invalid tender -> 0 used"," |  | 11/29/2025 | C-3667 | 869 | SP Ehsanullah | 49 Tail Sargodha | 200 | - | 16,062"
adjusted,4484,"Invalid tender -> 0 used"," |  | 11/29/2025 | JMB-1493 | 872 | SP Ehsanullah | Chak 1 Mitha Tiwana | 200 | - | 25,097"
adjusted,4487,"Invalid tender -> 0 used"," |  | 11/29/2025 | SGA-007 | 875 | Awan F | Jallay wali Wadi.e.soon | 200 | - | 39,731"
adjusted,4489,"Invalid tender -> 0 used"," |  | 11/29/2025 | LEI-5149 | 877 | SP Ehsanullah | Chak 22 LHR rd | 200 | - | 20,078"
adjusted,4494,"Invalid tender -> 0 used"," |  | 11/29/2025 | TAE-888 | 882 | Ali Network P.F | Pakistan F 92 Mor | 200 | - | 21,082"
adjusted,4498,"Invalid tender -> 0 used"," |  | 11/29/2025 | EA-3096 | 886 | SP Mubashar | Roshan F Chak 13 Ajnala | 200 | - | 16,464"
adjusted,4500,"Invalid tender -> 0 used"," |  | 11/29/2025 | E-7122 | 888 | SP Tarar Phalia | Pindi Purani Malakwal rd | 200 | - | 19,877"
adjusted,4510,"Invalid tender -> 0 used"," |  | 11/29/2025 | P-7145 | 898 | SP Ittefaq P.F | Ittefaq F Bherowal | 200 | - | 23,893"
adjusted,4528,"Invalid tender -> 0 used"," |  | 12/1/2025 | TKS-903 | 918 | Jasik P.F | Gondal F Kot Ameer | 200 | - | 20,904"
adjusted,4531,"Invalid tender -> 0 used"," |  | 12/2/2025 | LEI-5149 | 921 | Marhaba P.F | Halal F Chak 31 LHR Rd | 200 | - | 13,936"
adjusted,4534,"Invalid tender -> 0 used"," |  | 12/2/2025 | EA-8569 | 924 | Ehsanullah | Chak 128 Silanwali | 200 | - | 17,917"
adjusted,4542,"Invalid tender -> 0 used"," |  | 12/2/2025 | TMG-276 | 932 | SP Albaqi P.F | Abdul Rehman Rakh Baloch Mandi | 200 | - | 19,709"
adjusted,4543,"Invalid tender -> 0 used"," |  | 12/2/2025 | TMG-276 | 933 | SP Albaqi P.F | Junaid F Rakh Baloch Mandi | 400 | - | 35,476"
adjusted,4553,"Invalid tender -> 0 used"," |  | 12/4/2025 | TAE-888 | 943 | Ali Network P.F | 7 Star 92 Mor 5km | 200 | - | 20,904"
adjusted,4560,"Invalid tender -> 0 used"," |  | 12/5/2025 | LEI-1785 | 602 | Ali Network P.F | Bismillah F Chohal Pull | 200 | - | 20,904"
adjusted,4565,"Invalid tender -> 0 used"," |  | 12/5/2025 | E-7122 | 607 | Ehsanullah | Chak 67 Dhareema | 200 | - | 17,917"
adjusted,4570,"Invalid tender -> 0 used"," |  | 12/6/2025 | NAA-749 | 612 | SP Gondal | Anwar Husain Tarar F Phalia | 200 | - | 28,867"
adjusted,4575,"Invalid tender -> 0 used"," |  | 12/6/2025 | C-3053 | 618 | Jasik P.F | Chak 94 nr 85 Jhal | 200 | - | 17,917"
adjusted,4589,"Invalid tender -> 0 used"," |  | 12/7/2025 | LRC-5655 | 633 | Aalam P.F | Sakesar rd 6km Quaidabad | 200 | - | 24,885"
adjusted,4602,"Invalid tender -> 0 used"," |  | 12/9/2025 | SGH-7691 | 647 | Nasiyal P.F Noshehra | Wadi.e.Soon 4 Stop | 200 | - | 40,716"
